,Địa chỉ,Khu vực,phường/xã,dự án/số hẻm đường,Khoảng giá phổ biến Min,Giá phổ biến nhất,Khoảng giá phổ biến Max,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Mức giá
21,"Đường A, Phường Phú Thạnh, Tân Phú, Hồ Chí Minh",Tân Phú,Phú Thạnh,Đường A,86,144,226,60.9,5,6,6,6990.0
22,"Đường An Phú, Phường An Khánh, Quận 2, Hồ Chí Minh",Quận 2,An Khánh,Đường An Phú,156,206,469,240.0,3,4,4,48000.0
23,"Đường Xô Viết Nghệ Tĩnh, Phường 21, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,21,Đường Xô Viết Nghệ Tĩnh,97,141,284,30.0,3,3,2,3250.0
24,"Đường Trần Văn Đang, Phường 11, Quận 3, Hồ Chí Minh",Quận 3,11,Đường Trần Văn Đang,185,241,642,56.2,2,4,4,10000.0
25,"Dự án An Phú An Khánh, Đường Trần Lựu, Phường An Phú, Quận 2, Hồ Chí Minh",Quận 2,An Phú,"Dự án An Phú An Khánh, Đường Trần Lựu",70,232,574,160.0,3,4,4,56000.0
26,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",Quận 1,Nguyễn Cư Trinh,Đường Nguyễn Trãi,179,466,873,80.0,4,4,4,18500.0
27,"364 Đường Dương Quảng Hàm, Phường 6, Gò Vấp, Hồ Chí Minh",Gò Vấp,6,364 Đường Dương Quảng Hàm,85,111,238,60.0,3,4,4,6800.0
28,"Đường Bình Quới, Phường 27, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,27,Đường Bình Quới,97,141,284,132.0,3,4,4,14000.0
29,"Đường Bình Long, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",Bình Tân,Bình Hưng Hòa A,Đường Bình Long,67,86,179,44.0,2,2,2,3400.0
30,"Đường Nguyễn Văn Công, Phường 3, Gò Vấp, Hồ Chí Minh",Gò Vấp,3,Đường Nguyễn Văn Công,92,122,231,48.0,3,4,4,4350.0
31,"Đường Lý Chính Thắng, Phường 9, Quận 3, Hồ Chí Minh",Quận 3,9,Đường Lý Chính Thắng,160,224,594,880.0,4,5,6,400000.0
32,"Đường Cửu Long, Phường 2, Tân Bình, Hồ Chí Minh",Tân Bình,2,Đường Cửu Long,138,281,444,100.0,4,4,4,20000.0
33,"Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,13,Đường Nơ Trang Long,102,139,421,80.0,4,5,4,9500.0
34,"Đường Đồng Đen, Phường 14, Tân Bình, Hồ Chí Minh",Tân Bình,14,Đường Đồng Đen,132,266,381,280.0,5,20,20,69000.0
35,"Đường Nguyễn Thái Sơn, Phường 5, Gò Vấp, Hồ Chí Minh",Gò Vấp,5,Đường Nguyễn Thái Sơn,88,120,351,67.2,4,7,4,14000.0
36,"Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",Quận 2,Bình Trưng Tây,0,86,125,357,102.5,3,4,5,23500.0
37,"Đường Lê Văn Sỹ, Phường 13, Quận 3, Hồ Chí Minh",Quận 3,13,Đường Lê Văn Sỹ,154,199,834,98.0,3,4,4,15500.0
38,"Phố Hai Bà Trưng, Phường 10, Quận 3, Hồ Chí Minh",Quận 3,10,Phố Hai Bà Trưng,185,241,642,44.0,2,2,2,11500.0
39,"Đường Hoàng Sa, Phường Tân Định, Quận 1, Hồ Chí Minh",Quận 1,Tân Định,Đường Hoàng Sa,197,430,660,71.55,3,3,3,21500.0
40,"26/11B, Đường Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, Hồ Chí Minh",Quận 1,Đa Kao,"26/11B, Đường Nguyễn Bỉnh Khiêm",218,453,1060,85.0,3,4,4,23000.0
41,"Đường Nguyễn Đình Chiểu, Phường 1, Quận 3, Hồ Chí Minh",Quận 3,1,Đường Nguyễn Đình Chiểu,185,241,642,78.0,2,2,2,1290.0
42,"Đường 3/2, Phường 11, Quận 10, Hồ Chí Minh",Quận 10,11,Đường 3/2,152,202,404,31.0,4,2,3,6000.0
43,"Đường Tân Hòa Đông, Phường 14, Quận 6, Hồ Chí Minh",Quận 6,14,Đường Tân Hòa Đông,181,219,272,80.0,3,6,6,5100.0
44,"Đường Bàn Cờ, Phường 3, Quận 3, Hồ Chí Minh",Quận 3,3,Đường Bàn Cờ,154,199,834,75.0,5,4,4,4950.0
45,"Đường Điện Biên Phủ, Phường Đa Kao, Quận 1, Hồ Chí Minh",Quận 1,Đa Kao,Đường Điện Biên Phủ,218,453,1060,240.0,3,4,4,58000.0
46,"Đường Đồng Đen, Phường 12, Tân Bình, Hồ Chí Minh",Tân Bình,12,Đường Đồng Đen,129,211,332,306.0,3,3,3,59000.0
47,"Đường Cô Giang, Phường 2, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,2,Đường Cô Giang,135,344,586,160.0,3,3,3,22000.0
48,"Đường Trịnh Thị Dối, Xã Đông Thạnh, Hóc Môn, Hồ Chí Minh",Hóc Môn,Đông Thạnh,Đường Trịnh Thị Dối,31,41,146,289.0,1,3,3,8200.0
49,"Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh",Quận 9,Phước Long B,Đường Đỗ Xuân Hợp,21,92,214,50.0,2,2,2,2800.0
50,"Đường Trần Văn Dư, Phường 13, Tân Bình, Hồ Chí Minh",Tân Bình,13,Đường Trần Văn Dư,112,148,349,409.5,3,4,4,40000.0
51,"Đường Nguyễn Thị Thập, Phường Tân Phong, Quận 7, Hồ Chí Minh",Quận 7,Tân Phong,Đường Nguyễn Thị Thập,56,235,510,175.0,4,10,10,33000.0
52,"Đường Âu Cơ, Phường 10, Tân Bình, Hồ Chí Minh",Tân Bình,10,Đường Âu Cơ,97,130,295,57.0,2,2,2,5700.0
53,"Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,6,Đường Nguyễn Văn Đậu,125,158,419,87.2,5,8,8,18900.0
54,"Đường Bàn Cờ, Phường 3, Quận 3, Hồ Chí Minh",Quận 3,3,Đường Bàn Cờ,154,199,834,39.0,3,4,4,13500.0
55,"Đường Đinh Công Tráng, Phường Tân Định, Quận 1, Hồ Chí Minh",Quận 1,Tân Định,Đường Đinh Công Tráng,197,430,660,112.8,4,4,4,31000.0
56,"Đường Xô Viết Nghệ Tĩnh, Phường 26, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,26,Đường Xô Viết Nghệ Tĩnh,97,141,284,100.0,5,8,8,10500.0
57,"Đường 22, Phường Phước Long B, Thủ Đức, Hồ Chí Minh",Thủ Đức,Phước Long B,Đường 22,67,135,252,60.0,2,4,4,8500.0
58,"Đường Nguyễn Kiệm, Phường 9, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,9,Đường Nguyễn Kiệm,138,177,362,475.0,3,4,4,60000.0
59,"Đường Bình Lợi, Phường 13, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,13,Đường Bình Lợi,102,139,421,103.5,3,4,4,11000.0
60,"Đường Nguyễn Văn Đậu, Phường 5, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,5,Đường Nguyễn Văn Đậu,126,156,412,65.0,3,4,3,1440.0
61,"Đường Cách Mạng Tháng Tám, Phường 10, Quận 3, Hồ Chí Minh",Quận 3,10,Đường Cách Mạng Tháng Tám,185,241,642,179.0,4,4,4,24000.0
62,"Đường Bùi Thị Xuân, Phường Bến Thành, Quận 1, Hồ Chí Minh",Quận 1,Bến Thành,Đường Bùi Thị Xuân,230,833,1792,61.0,3,4,4,50000.0
63,"Phường 25, Bình Thạnh, Hồ Chí Minh.",Bình Thạnh,25,0,97,141,284,80.0,3,4,4,10500.0
64,"Đường Giang Văn Minh, Phường An Phú, Quận 2, Hồ Chí Minh",Quận 2,An Phú,Đường Giang Văn Minh,70,232,574,138.0,2,3,2,22000.0
65,"Đường Trần Hải Phụng, Phường Tân Tạo, Bình Tân, Hồ Chí Minh",Bình Tân,Tân Tạo,Đường Trần Hải Phụng,70,105,129,82.0,3,1,1,5000.0
66,"Đường 35A, Phường 10, Quận 6, Hồ Chí Minh",Quận 6,10,Đường 35A,181,219,272,21.0,2,2,2,3200.0
67,"Đường Nguyễn Sơn, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",Tân Phú,Tân Sơn Nhì,Đường Nguyễn Sơn,43,122,264,52.0,3,2,2,3990.0
68,"Đường Trần Văn Ơn, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh.",Tân Phú,Tân Sơn Nhì,Đường Trần Văn Ơn,43,122,264,60.0,4,4,4,5800.0
69,"Đường 230, Xã Hòa Phú, Củ Chi, Hồ Chí Minh",Củ Chi,Hòa Phú,Đường 230,14,18,23,80.6,3,4,4,1900.0
70,"Đường Phan Văn Trị, Phường 12, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,12,Đường Phan Văn Trị,97,141,284,96.0,4,3,4,13000.0
71,"Đường Đặng Minh Trứ, Phường 10, Tân Bình, Hồ Chí Minh",Tân Bình,10,Đường Đặng Minh Trứ,97,130,295,46.0,3,4,4,6500.0
72,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",Thủ Đức,Hiệp Bình Phước,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13",69,106,371,105.0,3,4,4,16200.0
73,"Đường Phan Văn Trị, Phường 2, Quận 5, Hồ Chí Minh",Quận 5,2,Đường Phan Văn Trị,159,456,635,50.0,3,4,4,16000.0
74,"Đường B6, Phường 12, Tân Bình, Hồ Chí Minh",Tân Bình,12,Đường B6,129,211,332,80.0,4,4,5,15000.0
75,"Hẻm 91, Đường Hòa Hưng, Phường 12, Quận 10, Hồ Chí Minh",Quận 10,12,"Hẻm 91, Đường Hòa Hưng",152,202,404,360.0,3,4,4,69000.0
76,"Hẻm 485, Đường Phan Văn Trị, Phường 5, Gò Vấp, Hồ Chí Minh",Gò Vấp,5,"Hẻm 485, Đường Phan Văn Trị",88,120,351,60.0,3,4,4,7800.0
77,"Đường Nguyễn Kiệm, Phường 3, Gò Vấp, Hồ Chí Minh",Gò Vấp,3,Đường Nguyễn Kiệm,92,122,231,43.0,3,3,3,4200.0
78,"Đường 47, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Quận 2,Thảo Điền,Đường 47,54,236,630,61.0,3,8,8,13500.0
79,"Đường Nguyễn Thị Huỳnh, Phường 8, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,8,Đường Nguyễn Thị Huỳnh,161,202,513,104.0,2,3,4,9000.0
80,"Đường Dương Quảng Hàm, Phường 5, Gò Vấp, Hồ Chí Minh",Gò Vấp,5,Đường Dương Quảng Hàm,88,120,351,59.3,3,3,2,11500.0
81,"Đường Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, Hồ Chí Minh",Quận 1,Đa Kao,Đường Nguyễn Đình Chiểu,218,453,1060,251.0,12,5,6,170000.0
82,"Đường Thạnh Xuân 25, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",Quận 12,Thạnh Xuân,Đường Thạnh Xuân 25,51,71,128,83.5,2,2,2,4750.0
83,"Đường Cao Bá Nhạ, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",Quận 1,Nguyễn Cư Trinh,Đường Cao Bá Nhạ,179,466,873,30.0,2,2,2,3990.0
84,"Phố Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",Quận 7,Tân Hưng,Phố Trần Xuân Soạn,94,140,421,20.0,1,2,1,2200.0
85,"Đường 7, Phường 11, Quận 6, Hồ Chí Minh",Quận 6,11,Đường 7,181,219,272,80.0,4,4,4,12500.0
86,"Đường Số 10, Phường Bình An, Quận 2, Hồ Chí Minh",Quận 2,Bình An,Đường Số 10,140,225,491,103.0,1,4,4,11500.0
87,"Dự án Đại Phúc Green Villas, Đường Phạm Hùng, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",Bình Chánh,Bình Hưng,"Dự án Đại Phúc Green Villas, Đường Phạm Hùng",67,118,296,110.0,5,4,4,18000.0
88,"Dự án Senturia An Phú, Đường Song Hành, Phường An Phú, Quận 2, Hồ Chí Minh",Quận 2,An Phú,"Dự án Senturia An Phú, Đường Song Hành",70,232,574,120.0,3,6,6,20680.0
89,"Đường Lý Thái Tổ, Phường 10, Quận 10, Hồ Chí Minh",Quận 10,10,Đường Lý Thái Tổ,152,202,404,160.0,3,4,4,64000.0
90,"Đường Lê Hoàng Phái, Phường 17, Gò Vấp, Hồ Chí Minh",Gò Vấp,17,Đường Lê Hoàng Phái,101,132,299,27.0,2,2,2,2300.0
91,"314, Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh",Quận 8,3,"314, Đường Âu Dương Lân",88,113,254,50.0,3,3,4,5200.0
92,"Đường Phạm Hồng Thái, Phường Bến Thành, Quận 1, Hồ Chí Minh",Quận 1,Bến Thành,Đường Phạm Hồng Thái,230,833,1792,136.0,3,4,4,59000.0
93,"Đường 31D, Phường An Phú, Quận 2, Hồ Chí Minh",Quận 2,An Phú,Đường 31D,70,232,574,80.0,4,5,5,17000.0
94,"Đường Số 51, Phường Bình Thuận, Quận 7, Hồ Chí Minh",Quận 7,Bình Thuận,Đường Số 51,78,195,297,66.5,4,4,4,9300.0
95,"Phường 2, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,2,0,135,344,586,90.0,4,4,4,25000.0
96,"Đường Quang Trung, Phường 10, Gò Vấp, Hồ Chí Minh",Gò Vấp,10,Đường Quang Trung,101,132,299,18.0,3,4,4,1950.0
97,"Đường Lê Vĩnh Hòa, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",Tân Phú,Phú Thọ Hòa,Đường Lê Vĩnh Hòa,82,107,262,70.0,4,5,5,7700.0
98,"Dự án PiCity High Park, Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",Quận 12,Thạnh Xuân,"Dự án PiCity High Park, Đường Thạnh Xuân 13",51,71,128,115.0,2,4,2,8000.0
99,"Dự án Verosa Park, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh",Quận 9,Phú Hữu,"Dự án Verosa Park, Đường Liên Phường",41,147,214,153.0,3,4,4,22000.0
100,"Đường Quang Trung, Phường 14, Gò Vấp, Hồ Chí Minh",Gò Vấp,14,Đường Quang Trung,92,116,345,70.0,5,5,5,7700.0
101,"Hẻm 14, Đường Làng Tăng Phú, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",Quận 9,Tăng Nhơn Phú A,"Hẻm 14, Đường Làng Tăng Phú",66,84,209,84.0,4,4,5,7500.0
102,"Phố Phan Đăng Lưu, Phường 7, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,7,Phố Phan Đăng Lưu,104,151,329,174.0,3,4,4,39000.0
103,"Đường Cộng Hòa, Phường 13, Tân Bình, Hồ Chí Minh",Tân Bình,13,Đường Cộng Hòa,112,148,349,76.0,2,4,4,10500.0
104,"Dự án Lucasta Villa, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh",Quận 9,Phú Hữu,"Dự án Lucasta Villa, Đường Liên Phường",41,147,214,402.0,3,4,4,58000.0
105,"439/19, Đường Hòa Hảo, Phường 5, Quận 10, Hồ Chí Minh",Quận 10,5,"439/19, Đường Hòa Hảo",149,193,484,60.0,4,4,4,15000.0
106,"Hẻm 69, Đường Nguyễn Gia Trí, Phường 25, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,25,"Hẻm 69, Đường Nguyễn Gia Trí",97,141,284,84.0,4,5,5,16000.0
107,"Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",Quận 2,Bình Trưng Tây,0,86,125,357,102.5,3,4,4,23500.0
108,"Nam Long Trần Trọng Cung, Đường Số 12, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",Quận 7,Tân Thuận Đông,"Nam Long Trần Trọng Cung, Đường Số 12",85,146,224,120.0,3,4,4,16000.0
109,"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",Nhà Bè,Phước Kiển,Đường Nguyễn Hữu Thọ,41,126,261,168.0,4,8,5,24000.0
110,"Đường Số 4 Cư xá Đô Thành, Phường 4, Quận 3, Hồ Chí Minh",Quận 3,4,Đường Số 4 Cư xá Đô Thành,167,366,676,47.0,3,3,3,11850.0
111,"Đường Nguyễn Thị Minh Khai, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",Quận 3,Võ Thị Sáu,Đường Nguyễn Thị Minh Khai,180,541,970,28.0,2,3,2,4700.0
112,"Đường Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",Quận 1,Nguyễn Cư Trinh,Đường Trần Hưng Đạo,179,466,873,150.0,6,4,4,60000.0
113,"Đường Hoàng Hữu Nam, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Quận 9,Long Thạnh Mỹ,Đường Hoàng Hữu Nam,58,141,317,1860.0,1,5,5,230000.0
114,"Đường K300, Phường 12, Tân Bình, Hồ Chí Minh",Tân Bình,12,Đường K300,129,211,332,63.0,3,2,2,7850.0
115,"Dự án The Sol Residence, Đường Thạnh Xuân 38, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",Quận 12,Thạnh Xuân,"Dự án The Sol Residence, Đường Thạnh Xuân 38",51,71,128,53.0,4,4,4,4700.0
116,"Dự án CityLand Park Hills, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh",Gò Vấp,10,"Dự án CityLand Park Hills, Đường Phan Văn Trị",101,132,299,100.0,3,4,4,19500.0
117,"Đường Hoàng Hoa Thám, Phường 12, Tân Bình, Hồ Chí Minh",Tân Bình,12,Đường Hoàng Hoa Thám,129,211,332,68.0,2,2,2,13000.0
118,"Dự án The Manhattan, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Quận 9,Long Thạnh Mỹ,"Dự án The Manhattan, Đường Nguyễn Xiển",58,141,317,144.0,3,4,4,17000.0
119,"Đường Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",Quận 9,Tăng Nhơn Phú A,Đường Lê Văn Việt,66,84,209,60.0,3,4,4,4200.0
120,"Đường Quang Trung, Phường 12, Gò Vấp, Hồ Chí Minh",Gò Vấp,12,Đường Quang Trung,101,132,299,52.0,4,3,4,8280.0
121,"Xã Phong Phú, Bình Chánh, Hồ Chí Minh",Bình Chánh,Phong Phú,0,57,87,136,105.0,3,4,4,7600.0
122,"Đường 817, Phường 5, Quận 8, Hồ Chí Minh",Quận 8,5,Đường 817,49,166,216,70.0,3,4,5,14500.0
123,"Đường Phan Huy Ích, Phường 12, Gò Vấp, Hồ Chí Minh",Gò Vấp,12,Đường Phan Huy Ích,101,132,299,56.0,5,4,3,7000.0
124,"Đường Bùi Thị Xuân, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",Quận 1,Phạm Ngũ Lão,Đường Bùi Thị Xuân,181,710,1300,250.0,3,4,4,58000.0
125,"Dự án CityLand Park Hills, Đường Số 12, Phường 10, Gò Vấp, Hồ Chí Minh",Gò Vấp,10,"Dự án CityLand Park Hills, Đường Số 12",101,132,299,100.0,4,4,4,17500.0
126,"Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",Quận 7,Tân Thuận Đông,Đường Bùi Văn Ba,85,146,224,400.0,3,4,4,50000.0
127,"8 Đường Nguyễn Thị Nghĩa, Phường Bến Thành, Quận 1, Hồ Chí Minh",Quận 1,Bến Thành,8 Đường Nguyễn Thị Nghĩa,230,833,1792,51.3,3,4,4,45000.0
128,"Phố Vạn Kiếp, Phường 3, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,3,Phố Vạn Kiếp,106,141,404,75.0,1,3,3,9600.0
129,"Đường Phạm Văn Chí, Phường 4, Quận 6, Hồ Chí Minh",Quận 6,4,Đường Phạm Văn Chí,167,187,229,138.6,2,4,4,23000.0
130,"Đường Trần Quốc Thảo, Phường 7, Quận 3, Hồ Chí Minh",Quận 3,7,Đường Trần Quốc Thảo,202,491,1023,253.0,2,2,2,85000.0
131,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Quận 7,Phú Thuận,Đường Huỳnh Tấn Phát,39,108,239,110.0,2,3,4,21000.0
132,"Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh",Gò Vấp,14,Đường Phạm Văn Chiêu,92,116,345,49.0,5,4,5,5800.0
133,"Đường Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh",Quận 10,12,Đường Sư Vạn Hạnh,152,202,404,56.0,1,3,2,2460.0
134,"Đường Trường Chinh, Phường 14, Tân Bình, Hồ Chí Minh",Tân Bình,14,Đường Trường Chinh,132,266,381,84.4,3,4,4,9000.0
135,"Đường Lê Đức Thọ, Phường 13, Gò Vấp, Hồ Chí Minh",Gò Vấp,13,Đường Lê Đức Thọ,101,132,299,3000.0,6,5,6,150000.0
136,"Đường Phan Xích Long, Phường 16, Quận 11, Hồ Chí Minh",Quận 11,16,Đường Phan Xích Long,135,335,457,41.0,4,4,4,7500.0
137,"Đường Hồ Biểu Chánh, Phường 11, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,11,Đường Hồ Biểu Chánh,144,185,634,81.0,6,6,4,17600.0
138,"Đường Thống Nhất, Phường 11, Gò Vấp, Hồ Chí Minh",Gò Vấp,11,Đường Thống Nhất,101,132,299,65.0,4,3,3,7500.0
139,"Đường Số 3, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",Thủ Đức,Trường Thọ,Đường Số 3,36,92,222,45.0,2,2,2,3800.0
140,"Đường Hoàng Hoa Thám, Phường 6, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,6,Đường Hoàng Hoa Thám,125,158,419,82.0,2,4,4,10200.0
141,"Đường Nguyễn Sỹ Sách, Phường 15, Tân Bình, Hồ Chí Minh",Tân Bình,15,Đường Nguyễn Sỹ Sách,84,106,262,45.5,2,2,2,3600.0
142,"Dự án Melosa Garden, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",Quận 9,Phú Hữu,"Dự án Melosa Garden, Đường Võ Chí Công",41,147,214,144.0,3,4,4,13500.0
143,"Đường Gò Dầu, Phường Tân Quý, Tân Phú, Hồ Chí Minh",Tân Phú,Tân Quý,Đường Gò Dầu,80,105,277,50.0,2,2,2,5100.0
144,"Đường Hoàng Hoa Thám, Phường 5, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,5,Đường Hoàng Hoa Thám,108,138,312,84.0,4,5,5,13500.0
145,"Đường Lê Đức Thọ, Phường 6, Gò Vấp, Hồ Chí Minh",Gò Vấp,6,Đường Lê Đức Thọ,85,111,238,88.0,3,4,4,7500.0
146,"Đường A, Phường Phú Thạnh, Tân Phú, Hồ Chí Minh.",Tân Phú,Phú Thạnh,Đường A,86,144,226,166.5,3,6,5,25000.0
147,"Đường Nguyễn Thái Sơn, Phường 5, Gò Vấp, Hồ Chí Minh",Gò Vấp,5,Đường Nguyễn Thái Sơn,88,120,351,112.0,3,3,4,7450.0
148,"84/25A Lê Quang Định, Phường 14, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,14,84/25A Lê Quang Định,102,139,421,13.0,2,4,2,2350.0
